Location,Count
Russie,8333
Ukraine,5423
France,2663
Moscou,2647
Kiev,2391
Chine,1643
Algérie,1443
État,1402
Mali,1174
Maroc,1082
Turquie,947
Paris,874
Allemagne,806
Washington,722
Donetsk,669
Zaporojié,655
Égypte,617
Kherson,595
Inde,552
Burkina Faso,542
Donbass,491
Nigeria,473
Pékin,467
Syrie,451
Tunisie,419
Soudan,405
Kenya,382
Brésil,381
Sénégal,381
Iran,351
Côte Ivoire,334
Pologne,334
Alger,330
Crimée,325
Éthiopie,302
Ouganda,282
Artiomovsk,280
Italie,273
Saint,270
Bamako,267
Angola,236
Arabie saoudite,235
Biélorussie,230
Centrafrique,221
Rwanda,208
Koupiansk,206
Bruxelles,203
Japon,202
Irak,181
Londres,181
Pays,161
Mozambique,156
Krasny Liman,155
Ouagadougou,155
L'Afrique,151
Danemark,148
Minsk,142
Afrique de Ouest,139
Belgique,139
Argentine,132
Bakhmout,128
Malawi,127
Indonésie,111
Caire,111
Émirats arabes unis,107
Dniepr,101
Zambie,100
Burundi,92
Belgorod,81
Arménie,81
État russe,80
république populaire de Donetsk,77
Azerbaïdjan,73
Johannesburg,67
Pacifique,62
République du Congo,55
Durban,54
Bangladesh,51
Géorgie,46
Haut,44
Thaïlande,43
Sahara,43
Kakhovka,38
Marrakech,37
Comores,34
île Maurice,30
mer du Japon,29
Afriques,28
Erevan,27
Arabie Saoudite,26
Nikolaïev,25
Copenhague,24
Bahreïn,23
Bakou,21
mer Rouge,19
El,18
Chebekino,15
Myanmar,13
Vilnius,10
Kaliningrad,10
mer Okhotsk,6
New Zimbabwe,6
Hurghada,5
Troie,4
État des Comores,3
Al,3
Okhotsk,3
du,3
Abidjan,1
Lado Gamsakhurdia,1
Port autonome Abidjan,1
Tbilissi,1
Suis,1
marche,1
hub Alger,1
️🪆,1
