Year,Location,Count,Latitude,Longitude
2023,Russie,4457,61.523112,105.1
2023,Ukraine,2965,48.379889,31.168139
2023,États-Unis,1713,39.8283,-98.5795
2023,Moscou,1576,55.7558,37.6173
2023,Kiev,1568,50.4501,30.5234
2023,Afrique,1299,9.1021,18.2812
2023,France,1109,46.232193,2.209667
2023,Chine,1018,35.8617,104.1954
2023,Occident,731,39.6913015,-85.4782303
2023,État,720,36.5748441,139.2394179
2023,Algérie,676,28.0339,1.6596
2023,Afrique du Sud,633,-30.5595,22.9375
2023,Mali,570,17.0,-4.0
2023,Turquie,475,38.9637,35.2433
2023,Maroc,451,31.7917,-7.0926
2023,Paris,437,48.8566,2.3522
2023,Washington,428,38.9072,-77.0369
2023,Europe,410,51.0,10.0
2023,Donetsk,395,48.0159,37.8028
2023,Égypte,384,26.8206,30.8025
2023,l’Afrique,364,43.5346302,0.1958151
2023,États,357,39.7837304,-100.445882
2023,Allemagne,355,51.1657,10.4515
2023,Inde,352,20.5937,78.9629
2023,Kremlin,303,36.5472537,-97.8314456
2023,Zaporojié,290,47.8507859,35.1182867
2023,Syrie,288,34.8021,38.9968
2023,Pékin,286,39.9042,116.4074
2023,Soudan,281,14.5844444,29.4917691
2023,Burkina Faso,275,12.2383,-1.8641
2023,Artiomovsk,274,54.349564,93.437813
2023,Kherson,248,46.6354,32.6181
2023,Brésil,246,-14.235,-51.9253
2023,Tunisie,245,33.8869,9.5375
2023,Nigeria,233,9.082,8.6753
2023,Donbass,215,40.5928159,71.8919178
2023,Nord,213,50.5289615,3.0883508
2023,Russie-Afrique,212,55.758955,37.5943635
2023,Royaume-Uni,212,55.3781,-3.436
2023,Saint-Pétersbourg,209,59.9343,30.3351
2023,Kenya,202,-0.0236,37.9062
2023,Sénégal,196,14.4974,-14.4524
2023,Zimbabwe,192,-19.0154,29.1549
2023,Pentagone,186,50.8464885,4.3536847
2023,Iran,183,32.4279,53.688
2023,RDC,176,-2.9814344,23.8222636
2023,Pologne,174,51.9194,19.1451
2023,Crimée,172,45.3453,34.0
2023,mer Noire,168,43.872824,33.9938077
2023,Koupiansk,165,49.7225,37.6083
2023,Arabie saoudite,160,23.8859,45.0792
2023,Alger,159,36.7538,3.0588
2023,Ghana,151,8.0300284,-1.0800271
2023,Biélorussie,150,53.7098,27.9534
2023,Éthiopie,145,8.9806,38.7578
2023,Africains,141,43.301009,5.3681139
2023,Ouganda,138,1.3733,32.2903
2023,Angola,133,-11.2027,17.8739
2023,République démocratique du Congo,133,-2.9814344,23.8222636
2023,Pretoria,131,-25.7459277,28.1879101
2023,Niger,129,17.7356214,9.3238432
2023,Bamako,124,12.6392,-8.0029
2023,Berlin,122,52.5173885,13.3951309
2023,RPD,119,23.7303696,80.5764824
2023,Bakhmout,118,48.5894123,38.0020994
2023,Amérique,114,9.2548361,-79.8805617
2023,Défense,114,51.5039966,-0.1248561
2023,Cameroun,114,4.6125522,13.1535811
2023,Irak,112,33.3152,43.6062
2023,Libye,108,26.8234472,18.1236723
2023,Mozambique,107,-19.302233,34.9144977
2023,Côte d’Ivoire,107,7.9897371,-5.5679458
2023,l’Afrique du Sud,106,-25.7813508,28.2924411
2023,Tchad,105,15.6134137,19.0156172
2023,Israël,104,30.8124247,34.8594762
2023,Suède,100,59.6749712,14.5208584
2023,Londres,99,51.5074456,-0.1277653
2023,Centrafrique,99,7.0323598,19.9981227
2023,Sahel,99,14.0279165,-0.7717776
2023,Moyen-Orient,98,48.8491127,2.3476893
2023,Minsk,97,53.9024716,27.5618225
2023,Japon,97,36.2048,138.2529
2023,L’Afrique,95,43.5346302,0.1958151
2023,Italie,95,41.9028,12.4964
2023,Burkina,95,12.0753083,-1.6880314
2023,Finlande,91,63.2467777,25.9209164
2023,Donetsk-Sud,89,48.0077889,37.8607102
2023,Rwanda,88,-1.9403,29.8739
2023,Tanzanie,88,-6.5247123,35.7878438
2023,Terre,87,8.5322391,38.6264712
2023,Asie,87,51.2086975,89.2343748
2023,Ankara,87,39.9207759,32.8540497
2023,Espagne,85,39.3260685,-4.8379791
2023,Istanbul,83,41.006381,28.9758715
2023,Argentine,82,-34.9964963,-64.9672817
2023,Bangui,81,4.3635118,18.5835913
2023,Zambie,80,-14.5189121,27.5589884
2022,Russie,3869,61.523112,105.1
2022,Ukraine,2458,48.379889,31.168139
2022,France,1554,46.232193,2.209667
2022,États-Unis,1303,39.8283,-98.5795
2022,Moscou,1071,55.7558,37.6173
2022,Afrique,938,9.1021,18.2812
2022,Kiev,823,50.4501,30.5234
2022,Europe,760,51.0,10.0
2022,État,680,36.5748441,139.2394179
2022,Maroc,631,31.7917,-7.0926
2022,Chine,625,35.8617,104.1954
2022,Algérie,611,28.0339,1.6596
2022,Mali,604,17.0,-4.0
2022,Occident,525,39.6913015,-85.4782303
2022,Turquie,472,38.9637,35.2433
2022,Allemagne,451,51.1657,10.4515
2022,Paris,437,48.8566,2.3522
2022,Zaporojié,365,47.8507859,35.1182867
2022,Kherson,347,46.6354,32.6181
2022,Washington,294,38.9072,-77.0369
2022,Nord,288,50.5289615,3.0883508
2022,États,286,39.7837304,-100.445882
2022,l’Afrique,278,43.5346302,0.1958151
2022,Donbass,276,40.5928159,71.8919178
2022,Burkina Faso,267,12.2383,-1.8641
2022,Nigeria,240,9.082,8.6753
2022,Égypte,233,26.8206,30.8025
2022,Afrique du Sud,231,-30.5595,22.9375
2022,Kremlin,208,36.5472537,-97.8314456
2022,Inde,200,20.5937,78.9629
2022,Istanbul,200,41.006381,28.9758715
2022,Taïwan,194,23.9739374,120.9820179
2022,Donetsk,185,48.0159,37.8028
2022,mer Noire,185,43.872824,33.9938077
2022,Niger,183,17.7356214,9.3238432
2022,Pékin,181,39.9042,116.4074
2022,Kenya,180,-0.0236,37.9062
2022,Royaume-Uni,178,55.3781,-3.436
2022,Italie,178,41.9028,12.4964
2022,Tunisie,174,33.8869,9.5375
2022,RDC,171,-2.9814344,23.8222636
2022,Alger,171,36.7538,3.0588
2022,Sénégal,168,14.4974,-14.4524
2022,Iran,168,32.4279,53.688
2022,Syrie,163,34.8021,38.9968
2022,Pologne,160,51.9194,19.1451
2022,Éthiopie,157,8.9806,38.7578
2022,Crimée,153,45.3453,34.0
2022,Libye,144,26.8234472,18.1236723
2022,Ouganda,144,1.3733,32.2903
2022,Bamako,143,12.6392,-8.0029
2022,Africains,139,43.301009,5.3681139
2022,Cameroun,138,4.6125522,13.1535811
2022,Zimbabwe,137,-19.0154,29.1549
2022,Brésil,135,-14.235,-51.9253
2022,Espagne,134,39.3260685,-4.8379791
2022,l’Europe,130,48.4548311,-2.0590025
2022,Bruxelles,125,50.8465573,4.351697
2022,Soudan,124,14.5844444,29.4917691
2022,Centrafrique,122,7.0323598,19.9981227
2022,Rwanda,120,-1.9403,29.8739
2022,Ghana,119,8.0300284,-1.0800271
2022,Israël,119,30.8124247,34.8594762
2022,Suède,118,59.6749712,14.5208584
2022,Rabat,118,34.0218454,-6.8408929
2022,Kharkov,117,49.9923181,36.2310146
2022,Qatar,116,25.3336984,51.2295295
2022,Etat,116,36.5748441,139.2394179
2022,Sahel,114,14.0279165,-0.7717776
2022,Berlin,110,52.5173885,13.3951309
2022,Européens,108,56.9509171,24.1105336
2022,Ankara,106,39.9207759,32.8540497
2022,Lougansk,106,45.4214062,4.4137443
2022,Japon,105,36.2048,138.2529
2022,Angola,103,-11.2027,17.8739
2022,Tchad,103,15.6134137,19.0156172
2022,Asie,101,51.2086975,89.2343748
2022,Hongrie,99,47.1817585,19.5060937
2022,Grèce,98,38.9953683,21.9877132
2022,Kosovo,95,42.5869578,20.9021231
2022,Etats-Unis,94,39.7837304,-100.445882
2022,Fédération de Russie,91,64.6863136,97.7453061
2022,Afghanistan,90,33.7680065,66.2385139
2022,Canada,89,61.0666922,-107.991707
2022,Moyen-Orient,88,48.8491127,2.3476893
2022,Belgique,87,50.6402809,4.6667145
2022,Somalie,87,8.3676771,49.083416
2022,République démocratique du Congo,87,-2.9814344,23.8222636
2022,Sahara occidental,87,24.1797324,-13.7667848
2022,l’Algérie,86,36.7445893,3.0587598
2022,Pays-Bas,86,52.2434979,5.6343227
2022,Australie,86,-24.7761086,134.755
2022,Odessa,85,46.4843023,30.7322878
2022,Amérique,83,9.2548361,-79.8805617
2022,Londres,82,51.5074456,-0.1277653
2022,Ouagadougou,82,12.3681873,-1.5270944
