year,month,day,num_article,words
2025,10,12,1,"['attaque', 'drone', 'fsr', 'centre', 'déplacer', 'fasher', 'mort', 'civil', 'diplomatie', 'soudanais', 'ministère', 'affaire', 'étranger', 'exhorter', 'conseil', 'sécurité', 'onu', 'appliquer', 'résolution', 'exiger', 'paramilitaire', 'force', 'soutien', 'rapide', 'levée', 'immédiat', 'siège', 'arrêt', 'ville', 'acteur', 'international', 'régional', 'urgence', 'stopper', 'afflux', 'arme', 'mercenaire', 'soutenir', 'gouvernement', 'effort', 'soulager', 'souffrance', 'demander', 'compte', 'dirigeant', 'déclarer', 'dernier', 'grand', 'région', 'darfour', 'échapper', 'contrôle', 'total', 'guerre', 'armée', 'avril']"
2025,10,12,2,"['fin', 'guerre', 'gazer', 'souffrance', 'palestinien', 'persister', 'image', 'montrer', 'tente', 'personne', 'perdre', 'maison', 'contrainte', 'vivre']"
2025,10,12,3,"['crise', 'madagascar', 'moment', 'gendarmerie', 'ranger', 'côté', 'manifestant', 'octobre', 'orange', 'actualité', 'gendarme', 'publier', 'déclaration', 'dire', 'protéger', 'terroriser', 'appeler', 'force', 'armée', 'rejeter', 'violence', 'présidence', 'malgache', 'dénoncer', 'tentative', 'prise', 'pouvoir', 'illégal', 'vif', 'nation', 'faire', 'bloc', 'défendre', 'ordre', 'constitutionnel', 'souveraineté', 'national', 'compagnie', 'aérien', 'ethiopian', 'air', 'austral', 'france', 'annoncer', 'report', 'annulation', 'vol', 'partie', 'militaire', 'rejoindre', 'corps', 'personnel', 'service', 'administratif', 'technique', 'capsat', 'baser', 'capitale', 'refuser', 'tirer', 'soirée', 'troupe', 'entrer', 'bref', 'échange', 'tir', 'sécurité', 'fidèle', 'président', 'prendre', 'contrôle', 'centre', 'ville', 'vivre', 'important', 'manifestation', 'début', 'protestation', 'fin', 'septembre', 'millier', 'personne', 'mobiliser', 'place', 'mai', 'socle', 'collectif', 'gen', 'z', 'démission', 'andry', 'rajoelina', 'sénat', 'média', 'affirmer', 'quitter', 'pays', 'indiquer', 'territoire']"
2025,10,3,1,"['pétrolier', 'boracay', 'arraisonner', 'autorité', 'français', 'reprendre', 'route', 'canal', 'suer', 'site', 'marine', 'traffic', 'navire', 'mètre', 'battre', 'pavillon', 'bénin', 'trouver', 'vendredi', 'matin', 'large', 'rochelle', 'golfe', 'gascogne', 'source', 'discours', 'valdaï', 'poutine', 'qualifier', 'arraisonnement', 'france', 'piraterie']"
2025,10,2,1,"['principal', 'événement', 'monde', 'soir', 'octobre', 'vladimir', 'poutine', 'prononcer', 'avenir', 'traité', 'new', 'relation', 'russie', 'usa', 'développement', 'bric', 'dossier', 'réunion', 'club', 'discussion', 'valdaï', 'moscou', 'kiev', 'procéder', 'nouveau', 'échange', 'prisonnier', 'civil', 'rapatrier', 'réagir', 'action', 'ue', 'actif', 'russe', 'déclarer', 'marier', 'zakharova', 'ministère', 'affaire', 'étranger', 'président', 'ramaphosa', 'condamner', 'interception', 'flottille', 'gazer', 'dénoncer', 'atteinte', 'grave', 'israël', 'principe', 'solidarité', 'justice', 'international', 'participant', 'manifestation', 'antigouvernemental', 'madagascar', 'annoncer', 'création', 'comité', 'coordination', 'lutte', 'média', 'dizaine', 'millier', 'personne', 'manifester', 'france', 'politique', 'budgétaire', 'gouvernement', 'pari', 'manifestant', 'prendre', 'assaut', 'concession', 'tesla', 'accord', 'partenariat', 'stratégique', 'global', 'russo', 'iranien', 'signer', 'pays', 'janvier', 'entrer', 'vigueur']"
2025,10,2,2,"['arraisonnement', 'pétrolier', 'france', 'acte', 'piraterie', 'poutine', 'action', 'viser', 'inciter', 'russie', 'agressif', 'déclarer', 'président', 'réunion', 'club', 'discussion', 'valdaï', 'drone', 'bord', 'préciser', 'intercepter', 'flotte', 'fantôme', 'russe', 'large', 'côte', 'juger', 'capitaine', 'refus', 'obtempérer', 'média']"
2025,10,2,3,"['milliardaire', 'engraisser', 'travailleur', 'dépouiller', 'manifestation', 'débuter', 'pari', 'cortège', 'élancer', 'rapporter', 'correspondant', 'sputnik', 'place', 'nouveau', 'journée', 'grève', 'prévoir', 'octobre', 'france', 'appel', 'intersyndicale', 'semaine', 'mobilisation', 'réunir', 'manifestant', 'pays', 'ministère', 'intérieur']"
2025,10,2,4,"['banque', 'ae', 'groupe', 'vouloir', 'finir', 'domination', 'impérialiste', 'politologue', 'installation', 'investissement', 'développement', 'bamako', 'permettre', 'pays', 'prendre', 'charge', 'déclarer', 'sputnik', 'afrique', 'ibrahim', 'salifou', 'socrate', 'temps', 'mondial', 'fmi', 'organisation', 'financier', 'appartenir', 'oligarchie', 'impérialisme', 'travers', 'maintenir', 'pauvreté', 'accuser', 'institution', 'influence', 'france', 'cherche', 'bloquer', 'projet', 'clé', 'financer', 'instabilité', 'région', 'falloir', 'montrer', 'monde', 'entier', 'français', 'dégât', 'causer', 'viser', 'déstabiliser', 'occuper', 'sahara', 'richesse', 'génération']"
2025,10,2,5,"['grève', 'octobre', 'cheminot', 'pénétrer', 'magasin', 'tesla', 'pari', 'intersyndicale', 'appeler', 'jeudi', 'nouveau', 'journée', 'mobilisation', 'travers', 'france', 'cfdt', 'cgt', 'fo', 'cfe', 'cgc', 'cftc', 'unsa', 'fsu', 'solidaire', 'protester', 'austérité', 'budgétaire', 'appel', 'transport', 'éducation', 'national', 'fonction', 'public', 'manifestation', 'prévoir', 'territoire', 'policier', 'gendarme', 'mobiliser', 'précédent', 'image', 'prendre', 'correspondant', 'sputnik', 'afrique', 'place']"
2025,10,2,6,"['piraterie', 'crime', 'guerre', 'violation', 'droit', 'international', 'interception', 'israël', 'flottille', 'gazer', 'condamner', 'organisateur', 'dénoncer', 'opération', 'armée', 'israélien', 'reprocher', 'tsahal', 'utiliser', 'tactique', 'agressif', 'canon', 'eau', 'blesser', 'préciser', 'position', 'palestinien', 'hama', 'qualifier', 'incident', 'terrorisme', 'état', 'appeler', 'communauté', 'prendre', 'mesure', 'urgent', 'protéger', 'militant', 'navire', 'djihad', 'islamique', 'maritime', 'grave', 'convention', 'responsable', 'sécurité', 'participant', 'onu', 'rapporteur', 'spécial', 'humain', 'territoire', 'francesca', 'albanese', 'déclarer', 'constituer', 'juridiction', 'légal', 'large', 'pari', 'garantir', 'fournir', 'protection', 'consulaire', 'ministère', 'suisse', 'affaire', 'étranger', 'rappeler', 'intervention', 'devoir', 'respecter', 'principe', 'nécessité', 'proportionnalité', 'passager', 'ankara', 'terroriste', 'perpétrer', 'marine', 'espagnol', 'indiquer', 'situation', 'consulat', 'région', 'mettre', 'alerte', 'bruxelle', 'exiger', 'assurer', 'irlandais', 'juger', 'préoccupant', 'respect', 'personne', 'bord']"
