year,month,day,article number,words
2025,10,12,1,"[['attaque', 'drone', 'fsr', 'centre', 'déplacer', 'fasher', 'mort', 'civil', 'diplomatie', 'soudanais'], ['ministère', 'soudanais', 'affaire', 'étranger', 'exhorter', 'conseil', 'sécurité', 'onu', 'appliquer', 'résolution', 'exiger', 'paramilitaire', 'force', 'soutien', 'rapide', 'fsr', 'levée', 'immédiat', 'siège', 'fasher', 'arrêt', 'attaque', 'ville'], ['acteur', 'international', 'régional', 'urgence', 'stopper', 'afflux', 'arme', 'mercenaire', 'fsr', 'soutenir', 'gouvernement', 'effort', 'soulager', 'souffrance', 'civil', 'demander', 'compte', 'dirigeant', 'fsr', 'déclarer', 'ministère'], ['fasher', 'dernier', 'grand', 'ville', 'région', 'darfour', 'échapper', 'contrôle', 'total', 'fsr', 'guerre', 'armée', 'soudanais', 'avril']]"
2025,10,12,2,"[['fin', 'guerre', 'gazer', 'souffrance', 'palestinien', 'persister'], ['image', 'montrer', 'tente', 'personne', 'perdre', 'maison', 'contrainte', 'vivre']]"
2025,10,12,3,"[['crise', 'madagascar', 'moment'], ['gendarmerie', 'ranger', 'côté', 'manifestant', 'octobre'], ['orange', 'actualité', 'gendarme', 'publier', 'déclaration', 'dire', 'protéger', 'terroriser', 'appeler', 'force', 'armée', 'rejeter', 'violence'], ['présidence', 'malgache', 'dénoncer', 'tentative', 'prise', 'pouvoir', 'illégal', 'force'], ['appeler', 'force', 'vif', 'nation', 'faire', 'bloc', 'défendre', 'ordre', 'constitutionnel', 'souveraineté', 'national'], ['compagnie', 'aérien', 'ethiopian', 'air', 'austral', 'air', 'france', 'annoncer', 'report', 'annulation', 'vol', 'madagascar', 'octobre'], ['octobre', 'partie', 'militaire', 'rejoindre', 'manifestant'], ['militaire', 'corps', 'armée', 'personnel', 'service', 'administratif', 'technique', 'capsat', 'baser', 'capitale', 'malgache', 'appeler', 'refuser', 'ordre', 'tirer', 'manifestant'], ['soirée', 'troupe', 'capsat', 'entrer', 'capitale', 'bref', 'échange', 'tir', 'force', 'sécurité', 'fidèle', 'président', 'prendre', 'contrôle', 'centre', 'ville', 'rejoindre', 'manifestant'], ['vivre', 'octobre', 'important', 'manifestation', 'début', 'protestation', 'fin', 'septembre'], ['millier', 'personne', 'mobiliser', 'place', 'mai'], ['manifestant', 'socle', 'collectif', 'gen', 'z', 'appeler', 'démission', 'andry', 'rajoelina', 'président', 'sénat'], ['média', 'affirmer', 'andry', 'quitter', 'pays', 'présidence', 'indiquer', 'octobre', 'territoire', 'national']]"
2025,10,3,1,"[['pétrolier', 'boracay', 'arraisonner', 'autorité', 'français', 'reprendre', 'route', 'canal', 'suer', 'site', 'marine', 'traffic'], ['navire', 'mètre', 'battre', 'pavillon', 'bénin', 'trouver', 'vendredi', 'matin', 'large', 'rochelle', 'golfe', 'gascogne', 'source'], ['discours', 'valdaï', 'poutine', 'qualifier', 'arraisonnement', 'france', 'piraterie']]"
2025,10,2,1,"[['principal', 'événement', 'monde', 'soir', 'octobre'], ['vladimir', 'poutine', 'prononcer', 'avenir', 'traité', 'new', 'relation', 'russie', 'usa', 'développement', 'bric', 'dossier', 'réunion', 'club', 'discussion', 'valdaï'], ['moscou', 'kiev', 'procéder', 'nouveau', 'échange', 'prisonnier'], ['civil', 'rapatrier'], ['moscou', 'réagir', 'action', 'ue', 'actif', 'russe', 'déclarer', 'marier', 'zakharova', 'ministère', 'russe', 'affaire', 'étranger'], ['président', 'ramaphosa', 'condamner', 'interception', 'flottille', 'gazer', 'dénoncer', 'nouveau', 'atteinte', 'grave', 'israël', 'principe', 'solidarité', 'justice', 'international'], ['participant', 'manifestation', 'antigouvernemental', 'madagascar', 'annoncer', 'création', 'comité', 'coordination', 'lutte', 'média'], ['dizaine', 'millier', 'personne', 'manifester', 'france', 'politique', 'budgétaire', 'gouvernement'], ['pari', 'manifestant', 'prendre', 'assaut', 'concession', 'tesla'], ['accord', 'partenariat', 'stratégique', 'global', 'russo', 'iranien', 'signer', 'président', 'pays', 'moscou', 'janvier', 'entrer', 'vigueur']]"
2025,10,2,2,"[['arraisonnement', 'pétrolier', 'france', 'acte', 'piraterie', 'poutine'], ['action', 'viser', 'inciter', 'russie', 'action', 'agressif', 'déclarer', 'président', 'réunion', 'club', 'discussion', 'valdaï'], ['drone', 'bord', 'préciser'], ['france', 'intercepter', 'pétrolier', 'flotte', 'fantôme', 'russe', 'large', 'côte', 'juger', 'capitaine', 'refus', 'obtempérer', 'média']]"
2025,10,2,3,"[['milliardaire', 'engraisser', 'travailleur', 'dépouiller'], ['manifestation', 'débuter', 'pari'], ['cortège', 'élancer', 'rapporter', 'correspondant', 'sputnik', 'place'], ['nouveau', 'journée', 'grève', 'prévoir', 'octobre', 'france', 'appel', 'intersyndicale', 'semaine', 'mobilisation', 'réunir', 'manifestant', 'pays', 'ministère', 'intérieur']]"
2025,10,2,4,"[['banque', 'ae', 'groupe', 'vouloir', 'finir', 'domination', 'impérialiste', 'politologue'], ['installation', 'banque', 'investissement', 'développement', 'bamako', 'permettre', 'pays', 'ae', 'prendre', 'charge', 'investissement', 'déclarer', 'sputnik', 'afrique', 'ibrahim', 'salifou', 'socrate'], ['finir', 'temps', 'banque', 'mondial', 'fmi', 'organisation', 'financier', 'appartenir', 'oligarchie', 'mondial', 'impérialisme', 'travers', 'maintenir', 'pauvreté', 'pays'], ['accuser', 'institution', 'influence', 'france', 'cherche', 'bloquer', 'projet', 'clé', 'financer', 'instabilité', 'région'], ['falloir', 'montrer', 'monde', 'entier', 'impérialisme', 'français'], ['dégât', 'causer', 'france'], ['viser', 'déstabiliser', 'occuper', 'sahara', 'richesse', 'génération', 'français']]"
2025,10,2,5,"[['grève', 'octobre', 'cheminot', 'pénétrer', 'magasin', 'tesla', 'pari'], ['intersyndicale', 'appeler', 'jeudi', 'nouveau', 'journée', 'mobilisation', 'travers', 'france'], ['cfdt', 'cgt', 'fo', 'cfe', 'cgc', 'cftc', 'unsa', 'fsu', 'solidaire', 'protester', 'austérité', 'budgétaire'], ['appel', 'grève', 'transport', 'éducation', 'national', 'fonction', 'public', 'manifestation', 'prévoir', 'cgt', 'territoire'], ['policier', 'gendarme', 'mobiliser', 'pari', 'précédent', 'journée', 'mobilisation'], ['image', 'prendre', 'correspondant', 'sputnik', 'afrique', 'place']]"
2025,10,2,6,"[['piraterie', 'crime', 'guerre', 'violation', 'droit', 'international', 'interception', 'israël', 'flottille', 'gazer', 'condamner'], ['organisateur', 'flottille', 'dénoncer', 'opération', 'armée', 'israélien', 'crime', 'guerre', 'reprocher', 'tsahal', 'utiliser', 'tactique', 'agressif', 'canon', 'eau'], ['blesser', 'préciser'], ['position', 'palestinien'], ['hama', 'qualifier', 'incident', 'piraterie', 'terrorisme', 'état', 'appeler', 'communauté', 'international', 'prendre', 'mesure', 'urgent', 'protéger', 'militant', 'navire'], ['djihad', 'islamique', 'dénoncer', 'piraterie', 'maritime', 'grave', 'violation', 'convention', 'international', 'responsable', 'sécurité', 'participant'], ['position', 'onu', 'communauté', 'international'], ['rapporteur', 'spécial', 'onu', 'droit', 'humain', 'territoire', 'palestinien', 'francesca', 'albanese', 'déclarer', 'interception', 'flottille', 'constituer', 'violation', 'droit', 'international', 'juridiction', 'légal', 'eau', 'large', 'gazer'], ['pari', 'appeler', 'israël', 'garantir', 'sécurité', 'participant', 'fournir', 'protection', 'consulaire'], ['ministère', 'suisse', 'affaire', 'étranger', 'rappeler', 'intervention', 'devoir', 'respecter', 'principe', 'nécessité', 'proportionnalité', 'garantir', 'sécurité', 'passager'], ['ankara', 'condamner', 'qualifier', 'terroriste', 'perpétrer', 'marine', 'israélien'], ['ministère', 'espagnol', 'affaire', 'étranger', 'indiquer', 'situation', 'préciser', 'consulat', 'région', 'mettre', 'état', 'alerte'], ['bruxelle', 'exiger', 'respecter', 'droit', 'maritime', 'international', 'assurer', 'sécurité', 'navire'], ['ministère', 'irlandais', 'affaire', 'étranger', 'juger', 'interception', 'flottille', 'préoccupant', 'appeler', 'respect', 'droit', 'personne', 'bord', 'droit', 'international']]"
